# SynthV/synth3 synthetic spectrum, Teff = 5215 K, log g = 3.55, normalized; decimated by 2 to 0.013 A/px (0.6 km/s at 6000 A, still oversampling the 1 km/s TODCOR grid)
# cut from 5215K_logg355.prf over 5650-6850 A, every 2th point
# wavelength [Angstrom, air]  normalized flux
5650.0055  0.645627
5650.0168  0.703680
5650.0281  0.777646
5650.0394  0.852735
5650.0507  0.913922
5650.0620  0.954566
5650.0733  0.976626
5650.0846  0.986425
5650.0959  0.990616
5650.1072  0.992139
5650.1185  0.992833
5650.1298  0.993469
5650.1411  0.994624
5650.1524  0.995746
5650.1637  0.996657
5650.1750  0.997556
5650.1863  0.997968
5650.1976  0.998379
5650.2089  0.998381
5650.2202  0.998341
5650.2315  0.997949
5650.2428  0.997467
5650.2541  0.996986
5650.2654  0.996504
5650.2767  0.995675
5650.2880  0.994585
5650.2993  0.993496
5650.3106  0.992406
5650.3219  0.991791
5650.3332  0.992073
5650.3445  0.992534
5650.3558  0.993161
5650.3671  0.993225
5650.3784  0.993038
5650.3897  0.991025
5650.4010  0.988654
5650.4123  0.984213
5650.4236  0.977747
5650.4349  0.969557
5650.4462  0.960355
5650.4575  0.951481
5650.4688  0.944528
5650.4801  0.940835
5650.4914  0.941149
5650.5027  0.945480
5650.5140  0.952138
5650.5253  0.959440
5650.5366  0.965221
5650.5479  0.968838
5650.5592  0.970296
5650.5705  0.969868
5650.5818  0.968224
5650.5931  0.966224
5650.6044  0.963639
5650.6157  0.957483
5650.6270  0.943500
5650.6383  0.914399
5650.6496  0.865263
5650.6609  0.799593
5650.6722  0.729562
5650.6835  0.670031
5650.6948  0.631739
5650.7061  0.620346
5650.7174  0.636591
5650.7288  0.679076
5650.7401  0.742165
5650.7514  0.814491
5650.7627  0.880945
5650.7740  0.931394
5650.7853  0.962806
5650.7966  0.980020
5650.8079  0.988536
5650.8192  0.992845
5650.8305  0.995065
5650.8418  0.996302
5650.8531  0.996970
5650.8644  0.997339
5650.8757  0.997708
5650.8870  0.998077
5650.8983  0.998304
5650.9096  0.998448
5650.9209  0.998592
5650.9322  0.998736
5650.9435  0.998815
5650.9548  0.998882
